
> audio:read-spell
> node scripts/generate_read_spell_azure_audio.cjs

Read & Spell plan: 300 words total; 300 pending; 1814 billable Khmer characters in this run.
1/300 created: rs-colors-001
2/300 created: rs-colors-002
3/300 created: rs-colors-003
4/300 created: rs-colors-004
5/300 created: rs-colors-005
6/300 created: rs-colors-006
7/300 created: rs-colors-007
8/300 created: rs-colors-008
9/300 created: rs-colors-009
10/300 created: rs-colors-010
11/300 created: rs-colors-011
12/300 created: rs-colors-012
13/300 created: rs-colors-013
14/300 created: rs-colors-014
15/300 created: rs-colors-015
16/300 created: rs-numbers-001
17/300 created: rs-numbers-002
18/300 created: rs-numbers-003
19/300 created: rs-numbers-004
20/300 created: rs-numbers-005
21/300 created: rs-numbers-006
22/300 created: rs-numbers-007
23/300 created: rs-numbers-008
24/300 created: rs-numbers-009
25/300 created: rs-numbers-010
26/300 created: rs-numbers-011
27/300 created: rs-numbers-012
28/300 created: rs-numbers-013
29/300 created: rs-numbers-014
30/300 created: rs-numbers-015
31/300 created: rs-family-001
32/300 created: rs-family-002
33/300 created: rs-family-003
34/300 created: rs-family-004
35/300 created: rs-family-005
36/300 created: rs-family-006
37/300 created: rs-family-007
38/300 created: rs-family-008
39/300 created: rs-family-009
40/300 created: rs-family-010
41/300 created: rs-family-011
42/300 created: rs-family-012
43/300 created: rs-family-013
44/300 created: rs-family-014
45/300 created: rs-family-015
46/300 created: rs-greetings-001
47/300 created: rs-greetings-002
48/300 created: rs-greetings-003
49/300 created: rs-greetings-004
50/300 created: rs-greetings-005
51/300 created: rs-greetings-006
52/300 created: rs-greetings-007
53/300 created: rs-greetings-008
54/300 created: rs-greetings-009
55/300 created: rs-greetings-010
56/300 created: rs-greetings-011
57/300 created: rs-greetings-012
58/300 created: rs-greetings-013
59/300 created: rs-greetings-014
60/300 created: rs-greetings-015
61/300 created: rs-food-001
62/300 created: rs-food-002
63/300 created: rs-food-003
64/300 created: rs-food-004
65/300 created: rs-food-005
66/300 created: rs-food-006
67/300 created: rs-food-007
68/300 created: rs-food-008
69/300 created: rs-food-009
70/300 created: rs-food-010
71/300 created: rs-food-011
72/300 created: rs-food-012
73/300 created: rs-food-013
74/300 created: rs-food-014
75/300 created: rs-food-015
76/300 created: rs-drinks-001
77/300 created: rs-drinks-002
78/300 created: rs-drinks-003
79/300 created: rs-drinks-004
80/300 created: rs-drinks-005
81/300 created: rs-drinks-006
82/300 created: rs-drinks-007
83/300 created: rs-drinks-008
84/300 created: rs-drinks-009
85/300 created: rs-drinks-010
86/300 created: rs-drinks-011
87/300 created: rs-drinks-012
88/300 created: rs-drinks-013
89/300 created: rs-drinks-014
90/300 created: rs-drinks-015
91/300 created: rs-fruit-001
92/300 created: rs-fruit-002
93/300 created: rs-fruit-003
94/300 created: rs-fruit-004
95/300 created: rs-fruit-005
96/300 created: rs-fruit-006
97/300 created: rs-fruit-007
98/300 created: rs-fruit-008
99/300 created: rs-fruit-009
100/300 created: rs-fruit-010
101/300 created: rs-fruit-011
102/300 created: rs-fruit-012
103/300 created: rs-fruit-013
104/300 created: rs-fruit-014
105/300 created: rs-fruit-015
106/300 created: rs-animals-001
107/300 created: rs-animals-002
108/300 created: rs-animals-003
109/300 created: rs-animals-004
110/300 created: rs-animals-005
111/300 created: rs-animals-006
112/300 created: rs-animals-007
113/300 created: rs-animals-008
114/300 created: rs-animals-009
115/300 created: rs-animals-010
116/300 created: rs-animals-011
117/300 created: rs-animals-012
118/300 created: rs-animals-013
119/300 created: rs-animals-014
120/300 created: rs-animals-015
121/300 created: rs-body-parts-001
122/300 created: rs-body-parts-002
123/300 created: rs-body-parts-003
124/300 created: rs-body-parts-004
125/300 created: rs-body-parts-005
126/300 created: rs-body-parts-006
127/300 created: rs-body-parts-007
128/300 created: rs-body-parts-008
129/300 created: rs-body-parts-009
130/300 created: rs-body-parts-010
131/300 created: rs-body-parts-011
132/300 created: rs-body-parts-012
133/300 created: rs-body-parts-013
134/300 created: rs-body-parts-014
135/300 created: rs-body-parts-015
136/300 created: rs-clothes-001
137/300 created: rs-clothes-002
138/300 created: rs-clothes-003
139/300 created: rs-clothes-004
140/300 created: rs-clothes-005
141/300 created: rs-clothes-006
142/300 created: rs-clothes-007
143/300 created: rs-clothes-008
144/300 created: rs-clothes-009
145/300 created: rs-clothes-010
146/300 created: rs-clothes-011
147/300 created: rs-clothes-012
148/300 created: rs-clothes-013
149/300 created: rs-clothes-014
150/300 created: rs-clothes-015
151/300 created: rs-home-furniture-001
152/300 created: rs-home-furniture-002
153/300 created: rs-home-furniture-003
154/300 created: rs-home-furniture-004
155/300 created: rs-home-furniture-005
156/300 created: rs-home-furniture-006
157/300 created: rs-home-furniture-007
158/300 created: rs-home-furniture-008
159/300 created: rs-home-furniture-009
160/300 created: rs-home-furniture-010
161/300 created: rs-home-furniture-011
162/300 created: rs-home-furniture-012
163/300 created: rs-home-furniture-013
164/300 created: rs-home-furniture-014
165/300 created: rs-home-furniture-015
166/300 created: rs-school-study-001
167/300 created: rs-school-study-002
168/300 created: rs-school-study-003
169/300 created: rs-school-study-004
170/300 created: rs-school-study-005
171/300 created: rs-school-study-006
172/300 created: rs-school-study-007
173/300 created: rs-school-study-008
174/300 created: rs-school-study-009
175/300 created: rs-school-study-010
176/300 created: rs-school-study-011
177/300 created: rs-school-study-012
178/300 created: rs-school-study-013
179/300 created: rs-school-study-014
180/300 created: rs-school-study-015
181/300 created: rs-places-in-town-001
182/300 created: rs-places-in-town-002
183/300 created: rs-places-in-town-003
184/300 created: rs-places-in-town-004
185/300 created: rs-places-in-town-005
186/300 created: rs-places-in-town-006
187/300 created: rs-places-in-town-007
188/300 created: rs-places-in-town-008
189/300 created: rs-places-in-town-009
190/300 created: rs-places-in-town-010
191/300 created: rs-places-in-town-011
192/300 created: rs-places-in-town-012
193/300 created: rs-places-in-town-013
194/300 created: rs-places-in-town-014
195/300 created: rs-places-in-town-015
196/300 created: rs-transport-001
197/300 created: rs-transport-002
198/300 created: rs-transport-003
199/300 created: rs-transport-004
200/300 created: rs-transport-005
201/300 created: rs-transport-006
202/300 created: rs-transport-007
203/300 created: rs-transport-008
204/300 created: rs-transport-009
205/300 created: rs-transport-010
206/300 created: rs-transport-011
207/300 created: rs-transport-012
208/300 created: rs-transport-013
209/300 created: rs-transport-014
210/300 created: rs-transport-015
211/300 created: rs-weather-001
212/300 created: rs-weather-002
213/300 created: rs-weather-003
214/300 created: rs-weather-004
215/300 created: rs-weather-005
216/300 created: rs-weather-006
217/300 created: rs-weather-007
218/300 created: rs-weather-008
219/300 created: rs-weather-009
220/300 created: rs-weather-010
221/300 created: rs-weather-011
222/300 created: rs-weather-012
223/300 created: rs-weather-013
224/300 created: rs-weather-014
225/300 created: rs-weather-015
226/300 created: rs-time-days-001
227/300 created: rs-time-days-002
228/300 created: rs-time-days-003
229/300 created: rs-time-days-004
230/300 created: rs-time-days-005
231/300 created: rs-time-days-006
232/300 created: rs-time-days-007
233/300 created: rs-time-days-008
234/300 created: rs-time-days-009
235/300 created: rs-time-days-010
236/300 created: rs-time-days-011
237/300 created: rs-time-days-012
238/300 created: rs-time-days-013
239/300 created: rs-time-days-014
240/300 created: rs-time-days-015
241/300 created: rs-jobs-001
242/300 created: rs-jobs-002
243/300 created: rs-jobs-003
244/300 created: rs-jobs-004
245/300 created: rs-jobs-005
246/300 created: rs-jobs-006
247/300 created: rs-jobs-007
248/300 created: rs-jobs-008
249/300 created: rs-jobs-009
250/300 created: rs-jobs-010
251/300 created: rs-jobs-011
252/300 created: rs-jobs-012
253/300 created: rs-jobs-013
254/300 created: rs-jobs-014
255/300 created: rs-jobs-015
256/300 created: rs-common-actions-001
257/300 created: rs-common-actions-002
258/300 created: rs-common-actions-003
259/300 created: rs-common-actions-004
260/300 created: rs-common-actions-005
261/300 created: rs-common-actions-006
262/300 created: rs-common-actions-007
263/300 created: rs-common-actions-008
264/300 created: rs-common-actions-009
265/300 created: rs-common-actions-010
266/300 created: rs-common-actions-011
267/300 created: rs-common-actions-012
268/300 created: rs-common-actions-013
269/300 created: rs-common-actions-014
270/300 created: rs-common-actions-015
